,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
A,Sample,,,,,,,,,,,,
A,Cq,31.3684781917628,31.5809715746128,32.7347921870343,32.5941060822434,32.4003772799856,32.0507356302852,35.219703327093,NaN,39.1946288480047,38.5780857381845,38.8808708057677,NaN
A,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
B,Sample,,,,,,,,,,,,
B,Cq,32.9812386860371,34.6042445981147,34.4251085412334,35.6345745970619,31.7640455975523,31.983601109622,NaN,37.7620554225414,NaN,NaN,NaN,NaN
B,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
C,Sample,,,,,,,,,,,,
C,Cq,33.9000627621032,33.7687711940719,34.2536520087282,33.9542158140179,32.2857571626063,32.4625256682966,NaN,37.2178405144039,NaN,39.1899591665515,37.1351065251098,NaN
C,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
D,Sample,,,,,,,,,,,,
D,Cq,32.2908801319439,31.2973967502369,32.0475963574881,33.1644958103196,31.0243690696249,30.9958626517242,NaN,NaN,35.0003628250075,39.7079146827853,38.6756288626885,39.1030393955567
D,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
E,Sample,,,,,,,,,,,,
E,Cq,31.8614636366754,32.0888684349835,33.3639378545682,32.1829256777285,31.0652734467458,31.1044304958036,39.8124695626032,NaN,NaN,NaN,37.128290515664,37.813921807074
E,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
F,Sample,,,,,,,,,,,,
F,Cq,31.5558829559699,31.025365932229,32.2359260267441,32.1548759660646,31.2042675037194,31.1790554591565,39.0612415850004,39.0274757061674,37.4081993258406,39.8576979585052,39.6886343216775,NaN
F,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,,,,,,,,,,,,
G,Cq,25.2127102162632,25.1502122977521,25.1918246020293,25.0778372645637,25.1585964022722,25.0767933013421,25.9005244719716,25.9110626949622,25.412491730508,25.4708336185399,25.3465225449811,25.4113535174125
G,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,
H,Cq,30.0630091316866,30.1155619200211,30.0593793724458,30.04840330872,30.3502969740416,30.7997855346499,34.0792493505831,35.0580639589427,32.9287247702422,34.0784890473943,38.5352378259149,35.2127794195934
H,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
