,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,NTC,,None,None,None,None,
,A02,SYBR,,NTC,,None,None,None,None,
,A03,SYBR,,NTC,,None,None,None,None,
,B01,SYBR,,Unkn,,83.5,6578.63760450013,75,88,
,B02,SYBR,,Unkn,,83.5,6875.73759027567,75,95,
,C01,SYBR,,Unkn,,83.5,7002.83831797769,75,88,
,C02,SYBR,,Unkn,,83.5,7769.7242648642,74.5,94,
,D01,SYBR,,Unkn,,83.5,7175.71690001552,75,88,
,D02,SYBR,,Unkn,,83.5,7756.86902547531,75.5,94,
,E01,SYBR,,Unkn,,83.5,7434.85021146495,74.5,88,
,E02,SYBR,,Unkn,,83.5,7862.88682349715,75,94,
,F01,SYBR,,Unkn,,83.5,7097.39943811808,74.5,94,
,F02,SYBR,,Unkn,,83.5,7898.57770170103,75,94,
,G01,SYBR,,Unkn,,83.5,7123.69263046717,73.5,94,
,G02,SYBR,,Unkn,,83.5,7785.48963637545,67.5,94,
,H01,SYBR,,Unkn,,83.5,6921.33516362551,74.5,94,
,H02,SYBR,,Unkn,,83.5,8085.277398686,67.5,95,
